Inp { dst: P(8) } => Value(1), relative base = 0, pc = 0
Inp { dst: P(10) } => Value(0), relative base = 851, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 846, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 841, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 836, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 831, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 826, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 821, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 816, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 811, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 806, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 801, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 796, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 791, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 786, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 781, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 776, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 771, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 766, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 761, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 756, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 751, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 746, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 741, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 736, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 731, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 726, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 721, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 716, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 711, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 706, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 701, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 696, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 691, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 686, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 681, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 676, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 671, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 666, pc = 475
Inp { dst: P(10) } => Value(0), relative base = 661, pc = 475
